Published,Weekday(Monday==0),Updated,ID,Version,Title
2024-07-08T16:25:01Z,28,2024-07-08T16:25:01Z,2407.06077,1,'Object-Oriented Material Classification and 3D Clustering for Improved  Semantic Perception and Mapping in Mobile Robots'
2024-07-08T16:21:53Z,28,2024-07-08T16:21:53Z,2407.06076,1,'Understanding Visual Feature Reliance through the Lens of Complexity'
2024-07-08T16:13:42Z,28,2024-07-08T16:13:42Z,2407.06071,1,'From Loops to Oops: Fallback Behaviors of Language Models Under  Uncertainty'
2024-07-08T16:05:56Z,28,2024-07-08T16:05:56Z,2407.06064,1,'Pan-denoising: Guided Hyperspectral Image Denoising via Weighted  Represent Coefficient Total Variation'
2024-07-08T16:01:04Z,28,2024-07-08T16:01:04Z,2407.06060,1,'MERGE -- A Bimodal Dataset for Static Music Emotion Recognition'
2024-07-08T16:01:00Z,28,2024-07-09T09:33:07Z,2407.06059,2,'LaFAM: Unsupervised Feature Attribution with Label-free Activation Maps'
2024-07-08T15:59:44Z,28,2024-07-08T15:59:44Z,2407.06057,1,'Variational Best-of-N Alignment'
2024-07-08T15:58:33Z,28,2024-07-08T15:58:33Z,2407.06056,1,'Stranger Danger! Identifying and Avoiding Unpredictable Pedestrians in  RL-based Social Robot Navigation'
2024-07-08T15:55:12Z,28,2024-07-08T15:55:12Z,2407.06053,1,'Learning local equivariant representations for quantum operators'
2024-07-08T15:51:37Z,28,2024-07-08T15:51:37Z,2407.06048,1,'Vision-Braille: An End-to-End Tool for Chinese Braille Image-to-Text  Translation'
2024-07-08T15:42:02Z,28,2024-07-09T12:14:47Z,2407.06045,2,'OpenCIL: Benchmarking Out-of-Distribution Detection in Class-Incremental  Learning'
2024-07-08T15:40:28Z,28,2024-07-08T15:40:28Z,2407.06043,1,'Test-time adaptation for geospatial point cloud semantic segmentation  with distinct domain shifts'
2024-07-08T15:37:51Z,28,2024-07-08T15:37:51Z,2407.06041,1,'MST5 -- Multilingual Question Answering over Knowledge Graphs'
2024-07-08T15:25:33Z,28,2024-07-08T15:25:33Z,2407.06027,1,'PAS: Data-Efficient Plug-and-Play Prompt Augmentation System'
2024-07-08T15:22:49Z,28,2024-07-08T15:22:49Z,2407.06025,1,'iLLM-TSC: Integration reinforcement learning and large language model  for traffic signal control policy improvement'
2024-07-08T15:17:46Z,28,2024-07-09T16:29:11Z,2407.06023,2,'Distilling System 2 into System 1'
2024-07-08T15:08:41Z,28,2024-07-08T15:08:41Z,2407.06018,1,'Leveraging Transformers for Weakly Supervised Object Localization in  Unconstrained Videos'
2024-07-08T15:07:09Z,28,2024-07-08T15:07:09Z,2407.06016,1,'RHRSegNet: Relighting High-Resolution Night-Time Semantic Segmentation'
2024-07-08T15:06:03Z,28,2024-07-08T15:06:03Z,2407.06015,1,'Simulation-based Benchmarking for Causal Structure Learning in Gene  Perturbation Experiments'
2024-07-08T15:04:21Z,28,2024-07-08T15:04:21Z,2407.06011,1,'Igea: a Decoder-Only Language Model for Biomedical Text Generation in  Italian'
2024-07-08T14:59:10Z,28,2024-07-08T14:59:10Z,2407.06005,1,'Advancing Automated Deception Detection: A Multimodal Approach to  Feature Extraction and Analysis'
2024-07-08T14:58:29Z,28,2024-07-09T09:11:18Z,2407.06004,2,'Perceptions to Beliefs: Exploring Precursory Inferences for Theory of  Mind in Large Language Models'
2024-07-08T14:57:02Z,28,2024-07-08T14:57:02Z,2407.06003,1,'Surprising gender biases in GPT'
2024-07-08T14:53:07Z,28,2024-07-08T14:53:07Z,2407.06001,1,'Pseudo-triplet Guided Few-shot Composed Image Retrieval'
2024-07-08T14:52:03Z,28,2024-07-08T14:52:03Z,2407.06000,1,'Bounding Boxes and Probabilistic Graphical Models: Video Anomaly  Detection Simplified'
2024-07-08T14:46:44Z,28,2024-07-08T14:46:44Z,2407.05996,1,'Multimodal Diffusion Transformer: Learning Versatile Behavior from  Multimodal Goals'
2024-07-08T14:41:53Z,28,2024-07-08T14:41:53Z,2407.05993,1,'Self-Prior Guided Mamba-UNet Networks for Medical Image Super-Resolution'
2024-07-08T14:36:20Z,28,2024-07-08T14:36:20Z,2407.05991,1,'Multi-Texture Synthesis through Signal Responsive Neural Cellular  Automata'
2024-07-08T14:26:30Z,28,2024-07-08T14:26:30Z,2407.05986,1,'KidSat: satellite imagery to map childhood poverty dataset and benchmark'
2024-07-08T14:25:46Z,28,2024-07-08T14:25:46Z,2407.05983,1,'Towards A Comprehensive Visual Saliency Explanation Framework for  AI-based Face Recognition Systems'
2024-07-08T14:25:39Z,28,2024-07-08T14:25:39Z,2407.05982,1,'MTL-Split: Multi-Task Learning for Edge Devices using Split Computing'
2024-07-08T14:22:46Z,28,2024-07-08T14:22:46Z,2407.05980,1,'MMIS: Multimodal Dataset for Interior Scene Visual Generation and  Recognition'
2024-07-08T14:21:45Z,28,2024-07-08T14:21:45Z,2407.05979,1,'Smoothing of Headland Path Edges and Headland-to-Mainfield Lane  Transitions Based on a Spatial Domain Transformation and Linear Programming'
2024-07-08T14:20:05Z,28,2024-07-08T14:20:05Z,2407.05977,1,'Exploring Human-LLM Conversations: Mental Models and the Originator of  Toxicity'
2024-07-08T14:18:33Z,28,2024-07-08T14:18:33Z,2407.05976,1,'Change-Point Detection in Industrial Data Streams based on Online  Dynamic Mode Decomposition with Control'
2024-07-08T14:18:28Z,28,2024-07-08T14:18:28Z,2407.05975,1,'LLaMAX: Scaling Linguistic Horizons of LLM by Enhancing Translation  Capabilities Beyond 100 Languages'
2024-07-08T14:16:05Z,28,2024-07-08T14:16:05Z,2407.05973,1,'Active Label Refinement for Robust Training of Imbalanced Medical Image  Classification Tasks in the Presence of High Label Noise'
2024-07-08T14:07:26Z,28,2024-07-08T14:07:26Z,2407.05969,1,'Deform-Mamba Network for MRI Super-Resolution'
2024-07-08T14:05:27Z,28,2024-07-08T14:05:27Z,2407.05967,1,'STMR: Spiral Transformer for Hand Mesh Reconstruction'
2024-07-08T14:05:03Z,28,2024-07-08T14:05:03Z,2407.05966,1,'On Bellman equations for continuous-time policy evaluation I:  discretization and approximation'
2024-07-08T14:04:58Z,28,2024-07-08T14:04:58Z,2407.05965,1,'T2VSafetyBench: Evaluating the Safety of Text-to-Video Generative Models'
